"decimalLongitude","decimalLatitude","rep3"
-86.925,20.525,260
-90.623335,19.271673,259
-88.758333,20.708333,260
-88.575,20.691667,258
-88.464636,19.640083,258
-88.758333,20.708333,260
-88.108611,18.803611,260
-88.758333,20.708333,260
-89.575,21.041667,257
-88.691667,20.691667,259
-88.575,20.691667,258
-89.131607,20.928212,260
-87.465358,20.130253,259
-88.758333,20.708333,260
-89.425,18.525,246
-89.425,20.308333,257
-89.575,21.041667,257
-88.758333,20.708333,260
-88.020278,18.613333,262
-88.575,20.691667,258
-87.608333,20.875,252
-88.758333,20.708333,260
-88.041667,19.591667,259
-88.758333,20.708333,260
-88.758333,20.708333,260
-87.308333,20.908333,254
-88.425,20.625,257
-88.575,20.691667,258
-88.400351,18.676702,258
-88.758333,20.708333,260
-88.575,20.691667,258
-89.575,21.041667,257
-87.032405,20.377371,260
-88.575,20.691667,258
-87.725,20.841667,252
-88.101178,19.762963,259
-88.758333,20.708333,260
-87.608333,20.875,252
-88.691667,20.691667,259
-88.575,20.691667,258
-87.608333,20.875,252
-88.575,20.691667,258
